Name,Team,Position,WAR,G,PA,AB,RUN,HIT,2B,3B,HR,TB,RBI,BB,HBP,IB,SO,DP,SAC,SAC2,BA,OBP,SLG,OPS,wOBA,wRCP,WPA,IsoP,IsoD,wRC27,wRAA,RAABat,RAAdef,RAADefPos,RAAdeftotal,RAA.Adj,Advancedbase,Runper,Advancedpossibility,Outonbase,SB,CS,RAASB,RAABR,Spd
À¯¹Î»ó,K,1B,0.21,24,74,60,7,14,2,0,1,19,6,8,6,0,18,1,0,0,0.233,0.378,0.317,0.695,0.348,104.1,-0.18,0.083,0.145,5.48,0.347,0.3,-1.2,-1.3,-2.4,-0.9,0.032258065,19.4,21.1,0,0,0,0,-0.1,1.8
À¯ÀåÇõ,ÇÑ,CF,-0.72,34,112,98,11,14,5,0,1,22,7,8,2,0,39,2,2,2,0.143,0.218,0.224,0.443,0.212,15.3,-1.14,0.082,0.075,0.6,0.213,-11.7,-0.7,0.2,-0.5,-12.6,0.03125,31.3,45.5,4.55,2,1,-0.1,-0.1,3.9
À¯ÇÑÁØ,K,DH,1.87,104,336,281,30,87,16,0,5,118,42,44,7,5,34,12,0,4,0.31,0.411,0.42,0.831,0.389,130.5,1.27,0.11,0.101,7.03,0.387,12.5,-0.9,-8.4,-9.2,12.3,0.026666667,16.7,31,1.72,1,0,0.1,0.6,1.5
À±ÇüÁØ,N,1B,0.15,51,81,74,10,22,0,0,5,37,10,3,0,0,17,2,3,1,0.297,0.321,0.5,0.821,0.355,107.4,-0.59,0.203,0.023,5,0.352,0.7,-1.8,-1.1,-2.9,-2.6,0,16.1,16.7,16.67,0,1,-0.5,-1.1,2
ÀÌ´ëÈ£,·Ô,DH,1.1,114,465,420,39,120,11,0,19,188,81,34,5,3,50,12,0,6,0.286,0.342,0.448,0.79,0.361,111.3,1.44,0.162,0.056,5.5,0.358,6.3,0.1,-12.6,-12.5,4.3,0.011560694,11.6,17.7,3.8,0,0,-0.1,-2,1.2
ÀÌµµÀ±,ÇÑ,SS,-0.45,56,68,63,5,11,0,0,0,11,2,4,0,0,18,1,1,0,0.175,0.224,0.175,0.399,0.198,6.6,-0.59,0,0.049,0.22,0.2,-7.8,0.7,0.6,1.3,-7.2,0,19.2,58.3,0,1,2,-0.7,0.6,3.6
ÀÌµ¿ÈÆ,ÇÑ,CF,-0.37,33,62,53,8,10,1,0,0,11,2,3,2,0,12,2,4,0,0.189,0.259,0.208,0.466,0.221,21.5,-0.51,0.019,0.07,0.82,0.223,-6,2,0.2,2.2,-4.4,0.045454545,36.4,33.3,11.11,2,2,-0.5,0.1,4.1
ÀÌ¸í±â,N,LF,1.38,56,232,191,30,56,12,0,2,74,14,37,1,0,27,2,3,0,0.293,0.411,0.387,0.798,0.381,126.6,1.03,0.094,0.117,6.82,0.381,7.5,-4.3,-2.5,-6.8,2.4,0.028846154,26.9,35.6,4.44,5,3,-0.4,-0.4,3.8
ÀÌ»óÈ£,L,2B,0.11,45,68,65,5,20,2,0,0,22,12,1,0,0,10,2,2,0,0.308,0.318,0.338,0.657,0.303,75.4,0.01,0.031,0.01,3.4,0.304,-2.1,1.1,0,1.1,-0.7,0.066666667,16.7,57.1,0,2,1,-0.1,0.3,2.9
ÀÌ¼º°ï,»ï,1B,0.77,62,208,174,17,46,12,2,1,65,24,29,3,0,53,4,1,1,0.264,0.377,0.374,0.75,0.359,113.7,-0.88,0.109,0.112,5.65,0.361,3.4,-0.3,-4.3,-4.6,3,0.06741573,18,37.5,0,1,3,-1.2,1.1,4
